,Prevotella_tannerae_et_rel
S1,4.591468051
S1,5.190777304
S1,5.097640772
S1,5.016824057
S1,4.70114507
S1,4.123126466
S1,4.234792477
S1,4.668171444
S1,5.027732032
S1,4.531007217
S1,4.369537064
S1,4.638666498
S1,5.454904434
S1,4.721250087
S1,4.840354725
S1,5.156538515
S1,5.037244111
S1,5.018058695
S1,5.208627941
S1,2.969091163
S1,4.64354395
S1,3.42345047
S1,2.521990636
S1,5.352287683
S1,4.421029646
S1,5.521014608
S1,5.195447936
S1,4.323173796
S1,3.333784696
S1,2.912183015
S1,4.244716653
S1,4.342203954
S1,4.550544818
S1,5.084131114
S1,3.506778232
S1,5.163776631
S1,4.994071928
S1,4.370387329
S1,3.249717002
S1,4.732321702
S1,3.837751995
S1,3.720607528
S1,4.357579351
S1,4.511501499
S1,4.602617985
S1,3.417700284
S1,5.456741116
S1,4.687865695
S1,3.078669906
S1,4.218956891
S1,4.614953672
S1,3.20027534
S1,5.34721504
S1,4.144309482
S1,4.605287301
S1,3.543257745
S1,4.831794435
S1,4.97649968
S1,3.740744963
S1,3.795334735
S1,3.157191192
S1,3.204319972
S1,3.314851832
S1,3.386466978
S1,3.889501826
S1,2.916935686
S1,4.69047966
S1,5.15789068
S1,3.906468323
S1,3.01387797
S1,3.156459424
S1,3.260413172
S1,3.151785773
S1,3.521378823
S1,3.47360227
S1,2.954720451
