,Group,Actinomycetaceae,Aerococcus,Aeromonas,Akkermansia,Alcaligenes faecalis et rel.,Allistipes et rel.,Anaerobiospirillum,Anaerofustis,Anaerostipes caccae et rel.,Anaerotruncus colihominis et rel.,Anaerovorax odorimutans et rel.,Aneurinibacillus,Aquabacterium,Asteroleplasma et rel.,Atopobium,Bacillus,Bacteroides fragilis et rel.,Bacteroides intestinalis et rel.,Bacteroides ovatus et rel.,Bacteroides plebeius et rel.,Bacteroides splachnicus et rel.,Bacteroides stercoris et rel.,Bacteroides uniformis et rel.,Bacteroides vulgatus et rel.,Bifidobacterium,Bilophila et rel.,Brachyspira,Bryantella formatexigens et rel.,Bulleidia moorei et rel.,Burkholderia,Butyrivibrio crossotus et rel.,Campylobacter,Catenibacterium mitsuokai et rel.,Clostridia,Clostridium cellulosi et rel.,Clostridium colinum et rel.,Clostridium difficile et rel.,Clostridium felsineum et rel.,Clostridium leptum et rel.,Clostridium nexile et rel.,Clostridium orbiscindens et rel.,Clostridium ramosum et rel.,Clostridium sphenoides et rel.,Clostridium stercorarium et rel.,Clostridium symbiosum et rel.,Clostridium thermocellum et rel.,Collinsella,Coprobacillus catenaformis et rel.,Coprococcus eutactus et rel.,Corynebacterium,Desulfovibrio et rel.,Dialister,Dorea formicigenerans et rel.,Eggerthella lenta et rel.,Enterobacter aerogenes et rel.,Enterococcus,Escherichia coli et rel.,Eubacterium biforme et rel.,Eubacterium cylindroides et rel.,Eubacterium hallii et rel.,Eubacterium limosum et rel.,Eubacterium rectale et rel.,Eubacterium siraeum et rel.,Eubacterium ventriosum et rel.,Faecalibacterium prausnitzii et rel.,Fusobacteria,Gemella,Granulicatella,Haemophilus,Helicobacter,Klebisiella pneumoniae et rel.,Lachnobacillus bovis et rel.,Lachnospira pectinoschiza et rel.,Lactobacillus catenaformis et rel.,Lactobacillus gasseri et rel.,Lactobacillus plantarum et rel.,Lactobacillus salivarius et rel.,Lactococcus,Leminorella,Megamonas hypermegale et rel.,Megasphaera elsdenii et rel.,Methylobacterium,Micrococcaceae,Mitsuokella multiacida et rel.,Moraxellaceae,Novosphingobium,Oceanospirillum,Oscillospira guillermondii et rel.,Outgrouping clostridium cluster XIVa,Oxalobacter formigenes et rel.,Papillibacter cinnamivorans et rel.,Parabacteroides distasonis et rel.,Peptococcus niger et rel.,Peptostreptococcus anaerobius et rel.,Peptostreptococcus micros et rel.,Phascolarctobacterium faecium et rel.,Prevotella melaninogenica et rel.,Prevotella oralis et rel.,Prevotella ruminicola et rel.,Prevotella tannerae et rel.,Propionibacterium,Proteus et rel.,Pseudomonas,Roseburia intestinalis et rel.,Ruminococcus bromii et rel.,Ruminococcus callidus et rel.,Ruminococcus gnavus et rel.,Ruminococcus lactaris et rel.,Ruminococcus obeum et rel.,Serratia,Sporobacter termitidis et rel.,Staphylococcus,Streptococcus bovis et rel.,Streptococcus intermedius et rel.,Streptococcus mitis et rel.,Subdoligranulum variable at rel.,Sutterella wadsworthia et rel.,Tannerella et rel.,Uncultured Bacteroidetes,Uncultured Chroococcales,Uncultured Clostridiales I,Uncultured Clostridiales II,Uncultured Mollicutes,Uncultured Selenomonadaceae,Veillonella,Vibrio,Weissella et rel.,Wissella et rel.,Xanthomonadaceae,Yersinia et rel.
Sample-1,C,0.001403574,0.005219969,0.005042684,0.069066857,0.003468218,3.904903397,0.058052526,0.021408044,0.223086019,0.341307005,0.089032454,0.007412931,0.001903922,0.00334288,0.02311224,0.071142753,2.67841935,1.307410068,3.626397007,3.297046338,3.311516782,5.277248978,2.433852176,1.694568738,2.156842777,0.007332862,0.004622269,0.741966617,0.031360291,0.006694474,1.080438661,0.010613769,0.042356536,2.947364546,1.915716246,0.162193584,0.661406687,0.485536838,0.823166496,0.463428631,1.641270902,0.059499114,0.794219715,0.669176529,1.571378255,0.003166054,1.971723696,0.287367016,0.676089734,0.005293968,0.010208908,0.007985268,2.75811451,0.068011346,1.200335031,0.163334947,3.347659776,0.099484431,0.00990376,0.205534234,0.065954421,0.563801199,0.495083555,0.240260114,12.02095702,0.017935693,0.004190568,0.003969671,0.137134571,0.007344057,0.769396736,0.329107156,1.86462064,0.000867241,0.079300211,0.042914111,0.02124531,0.011153923,0.017021989,0.004215868,0.00962681,0.001020205,0.021168656,0.006739539,0.037703831,0.012140858,0.011812765,1.150655296,0.761191666,0.084216834,0.43074852,4.761007219,0.037457657,0.003426751,0.012566127,0.197678358,0.160594369,0.795501698,0.910355086,1.577343487,0.017188587,0.083936935,0.127868467,0.391155404,0.315278784,0.420391943,0.938792455,0.303113231,2.677418481,0.067621736,0.338582239,0.101107022,1.086535319,0.137115839,0.545070722,6.206092534,0.142645655,1.622283959,0.424195735,0.002817991,0.05154712,0.181837143,0.199732651,0.000175531,0.005982056,0.123350209,0.038716692,0.001871309,0.023255467,0.198725614
Sample-2,C,0.001767075,0.007866872,0.00388637,0.01948822,0.003287782,0.423498059,0.003867379,0.017209892,0.375764256,0.13648053,0.076254217,0.011862573,0.002656366,0.004524386,0.010354124,0.012694748,0.365831946,0.256501995,0.672533951,0.303976274,0.591810788,0.583403731,0.109482122,0.446980671,2.371798329,0.00752075,0.0060304,1.602568439,0.117789274,0.006965673,1.168774003,0.014077541,0.089035163,2.094601961,0.561687258,0.973793979,0.414889521,0.03352654,0.197870832,2.675372196,0.475089177,0.016528676,2.031194896,0.022555142,2.49343547,0.004242454,0.430340327,0.036913017,1.423054487,0.005974709,0.0129339,0.015801488,5.193268007,0.054029665,0.025045318,0.021114039,0.067441461,0.682080566,0.012352748,0.427458628,0.021416705,5.743618987,0.076298042,0.892112535,17.52027962,0.013016876,0.009436321,0.008316798,0.006875737,0.009829352,0.033443577,1.762943164,5.171165651,0.001908192,0.164138324,0.043141127,0.01379348,0.040620862,0.002648203,1.934518798,0.032372299,0.001501684,0.004255933,0.008835672,0.005567584,0.003367433,0.015393689,0.713680484,1.851936154,0.032016464,0.389551131,0.704438675,0.176187075,0.004716553,0.018165255,0.197436628,10.83848746,2.208922609,0.924490198,0.58856017,0.009597191,0.010686266,0.006890683,2.167567585,1.517269263,0.382482105,1.16221129,0.529703005,6.416366489,0.00236051,0.325458203,0.005392889,1.01855015,0.129131774,0.397363155,2.257758993,0.143779221,0.338599027,0.020438887,0.003651881,0.066420558,0.079716231,0.122336885,0.000239294,0.153460683,0.015074654,0.260367694,0.005830616,0.016772119,0.015976831
Sample-3,C,0.002234554,0.00471674,0.004862613,0.018774524,0.004243501,0.453385042,0.004590245,0.012755101,0.527101086,0.377602888,0.152405854,0.018461728,0.004100707,0.006015865,0.008722213,0.014981621,0.389637164,0.116904327,0.605600631,0.370369354,0.355097071,0.347808364,0.196127245,0.195491246,0.68246777,0.010222497,0.008210843,1.373447745,0.047581665,0.006811718,1.970629093,0.018585214,0.032790182,0.207568838,0.784485008,1.106140883,0.213380717,0.00667088,0.304636589,1.020696512,0.900681216,0.021796373,1.934391426,0.034888863,2.770971192,0.005890971,0.151958571,0.041616396,2.554429725,0.007953793,0.017236283,0.168449635,2.614217274,0.023960546,0.013092135,0.022403387,0.030713093,0.26029309,0.01659972,0.248588946,0.024066126,6.090264355,0.225480934,0.8515973,18.32834029,0.017529208,0.007894898,0.003590016,0.003246108,0.012993348,0.012396338,1.636154658,5.576430709,0.001263711,0.174797682,0.050691132,0.008891389,0.012913917,0.002765485,1.148905976,0.027295798,0.002047952,0.004820032,0.008438951,0.00722558,0.004338995,0.019865939,2.616095088,1.047165007,0.066765781,0.647829849,0.595298513,0.037574521,0.005933789,0.022559028,1.247016091,16.00879695,0.860195278,0.321564004,0.59633403,0.014043897,0.012312444,0.004525732,3.294575352,1.540145197,2.934387848,0.622173029,0.38573694,3.500341364,0.000525185,0.980571244,0.0069652,0.604527163,0.092885896,0.341183893,2.512519531,0.166116284,0.169522508,0.024525955,0.005739116,0.114029131,0.222994389,0.151095007,0.000641257,0.041483783,0.014811136,0.041350932,0.002385003,0.02254176,0.011520604
Sample-4,C,0.002392857,0.003974665,0.005085398,0.018942145,0.004491938,2.224126454,0.004827409,0.010268026,0.144104346,0.156761856,0.053537964,0.007792781,0.003461139,0.00611327,0.010570534,0.012821951,1.789748706,1.106749102,3.384757977,1.432152756,2.81541226,2.52252451,0.544121048,1.59944434,1.097158498,0.010240956,0.008694648,0.925375033,0.088115597,0.012335748,0.562653729,0.019824318,0.050261366,0.359476925,0.228313581,0.169892448,0.219167952,0.015454359,0.176114193,1.152758756,0.369404674,0.019248345,1.086494791,0.028217794,1.403490374,0.006063667,0.287522133,0.027582101,0.59593045,0.008184392,0.018222838,0.167297134,2.703438706,0.02770811,0.016438887,0.026292037,0.027908423,0.373484569,0.017933458,0.113204231,0.021536698,0.934669889,0.033389969,0.227770842,13.25544475,0.018165967,0.008634095,0.002780138,0.003057313,0.013113382,0.015571909,0.402384887,1.887465266,0.001734344,0.132136203,0.049408955,0.009314798,0.013304707,0.002883084,3.457530414,0.026457098,0.002188094,0.005368778,0.008965603,0.007861359,0.004143143,0.020644213,0.431358678,0.79810457,0.031351747,0.271802122,3.286483042,0.116448082,0.006243139,0.023155167,0.104583046,17.94415259,6.330594401,3.274363568,2.818215043,0.01357316,0.012459666,0.004148342,0.747381034,0.5385916,0.237622905,0.570963965,0.205534865,2.022942524,0.000341495,0.194553087,0.007195822,3.275762826,0.24229228,1.383981726,1.557649838,0.479155403,1.539633739,0.053286237,0.004975257,0.094246008,0.116476027,0.082478677,0.000411438,0.192179861,0.012975037,0.011277172,0.002173967,0.097705549,0.011160742
Sample-5,C,0.001747318,0.005363994,0.006204595,0.133762376,0.004345918,2.552920377,0.003973547,0.010786619,0.723018399,0.099191992,0.098559697,0.01569994,0.003493796,0.00477927,0.00735953,0.011050253,0.641348583,0.582008209,1.001395111,3.33366459,1.981027419,0.872255845,1.599545658,1.397249999,0.146777316,0.008023004,0.006248009,2.01645247,0.016935539,0.01173863,5.379218646,0.014212807,0.016542023,0.093901662,0.662277979,0.255549029,0.169728583,0.00429076,0.224125242,1.570512176,0.80220849,0.090766199,1.303368547,0.717939297,2.994110144,0.004576513,0.165015961,0.321759437,4.343919637,0.006922691,0.014651393,0.019616339,4.374233772,0.026640996,0.020301107,0.017293061,0.093060868,0.074837987,0.012768177,0.18399869,0.020743215,2.872454277,0.067367296,0.629963904,11.35669919,0.014310664,0.005600612,0.004383152,0.004262232,0.00985142,0.020831066,3.332068547,1.461433882,0.000712986,0.171642754,0.045774105,0.014323915,0.013546535,0.002361411,0.028804709,0.027615572,0.002220135,0.003695174,0.009440311,0.00589798,0.003225372,0.014799265,0.826656636,1.450451228,0.062936772,1.044194052,1.709944324,0.097106042,0.004754479,0.017467649,0.023988374,11.12476265,0.922687405,0.465334839,2.43812691,0.023472856,0.010730754,0.005263511,2.491037101,0.238621534,0.328305982,0.794438871,2.080835297,6.100750414,0.001291441,0.353811884,0.006005481,0.758999093,0.083235516,0.186600836,1.722730659,0.267940691,0.879893388,0.390841321,0.005449628,0.836432078,0.467250314,0.08232205,0.000258112,0.184446989,0.019710302,0.009116492,0.002655176,0.048388834,0.011446138
Sample-6,C,0.002257343,0.004865118,0.005381556,0.048141325,0.006275103,0.685556566,0.004611638,0.010498081,0.447494507,0.178487482,0.072382203,0.013702758,0.003139924,0.00566234,0.008295342,0.011128894,0.310222008,0.171928265,0.332179473,1.144169652,0.627001473,0.293981959,0.393162385,0.393246098,0.095565705,0.009983421,0.008250647,2.294188597,0.027287364,0.014821916,7.744711407,0.018658276,0.009748055,0.111561063,0.285270333,0.357150063,0.171813961,0.005325588,0.187591831,2.88482597,1.135800319,0.043545657,1.575095726,0.168891516,4.269705796,0.005620942,0.140323609,0.120290926,4.078185758,0.007795322,0.017504022,0.025749016,4.594189784,0.022855688,0.020547822,0.021378383,0.033769376,0.170861981,0.016642516,0.445382284,0.021255949,5.553059218,0.126555468,0.821300426,14.79745174,0.017353392,0.007419969,0.004000516,0.002991075,0.012666169,0.018315819,6.062090123,2.625105289,0.000947997,0.197007642,0.047902774,0.008728734,0.020980226,0.00277269,0.010967996,0.02245826,0.001987745,0.004855517,0.009572439,0.007298317,0.003803162,0.019313702,1.180495896,1.683339456,0.032770892,1.452890036,0.404303079,0.199014913,0.005981682,0.021790466,0.02970742,12.03505464,0.471363272,0.113682021,0.578850239,0.015633301,0.012831871,0.004198585,3.557760784,0.072279409,0.523647386,1.15798145,2.064054701,3.436526918,0.000402586,0.365221706,0.006764787,0.638962578,0.089714107,0.211416414,0.611215827,0.500537748,0.441535312,0.110534104,0.014614328,0.2408259,0.177351702,0.109372126,0.000319514,0.530662405,0.012858079,0.010337201,0.00235103,0.116854185,0.011165456
Sample-7,C,0.00240557,0.005243882,0.005873571,0.024421771,0.012615886,1.037083327,0.004995599,0.011953722,0.344426893,0.576433325,0.175170092,0.011515373,0.006922647,0.006176862,0.010652181,0.012623089,0.936134541,0.75037228,0.775617376,0.697644363,0.946908147,0.499517698,0.533295727,0.528815205,3.145663704,0.012192844,0.00890056,1.384491443,0.034996832,0.018653837,2.670329912,0.020753579,0.13347389,0.245559929,1.278662358,0.34691746,0.163203331,0.007248304,0.324722709,1.534287063,0.778230113,0.046283307,2.187128717,0.258951229,2.275977967,0.006065684,0.331824883,0.200579433,2.296956722,0.008574644,0.018241672,0.052371015,3.557932558,0.026571818,0.044874545,0.022005518,0.03339743,0.187248426,0.017654756,0.285885013,0.02425155,3.572299091,0.277106022,0.87718035,22.27680567,0.018969817,0.008594256,0.003901327,0.003017392,0.014243363,0.024411646,2.982135278,3.089527782,0.003467546,0.159657262,0.057364264,0.028956532,0.015990497,0.003388866,0.422313959,0.371776561,0.001965858,0.004952425,0.403762395,0.008108065,0.0037695,0.021309363,5.04950739,1.56744443,0.041061972,0.56293035,1.431121015,0.074017199,0.008265874,0.02414013,0.041435995,5.72928537,0.996994223,0.815110795,0.970008025,0.014805276,0.013379764,0.004290083,2.83396112,0.236484304,2.158620191,0.634140982,0.744550837,2.613935381,0.000356425,1.134745053,0.007128825,0.576675218,0.161170583,0.435619242,1.3120697,0.428025894,0.57963864,0.049108603,0.013600908,1.26226118,0.533782595,0.127097227,0.000377182,0.076356316,0.01808683,0.011638817,0.004581345,0.125181207,0.01414853
Sample-8,C,0.001657107,0.005008889,0.004539054,0.050917954,0.003299384,0.343767101,0.004047133,0.02325201,0.232806418,0.359451634,0.137010611,0.007072885,0.004555778,0.004544398,0.015185039,0.011554412,0.135270735,0.360087404,0.236248597,0.247216654,0.286591149,0.13765349,0.105325469,0.08819695,0.422620619,0.007616044,0.006099228,2.523718414,0.04465153,0.006475964,3.145894011,0.013803178,0.068737541,0.470543273,1.8931799,0.334642318,0.918157647,0.010315616,0.212586364,2.682046361,1.305704206,0.035063278,2.04823432,0.121832282,2.443538846,0.004294368,0.822797915,0.137684407,2.135705459,0.005751895,0.013038829,0.085867589,9.350764923,0.092632728,0.039442588,0.019041996,0.11202458,0.148571773,0.012475451,0.391141045,0.020057705,2.585938026,0.406078141,0.933255818,21.89137803,0.01355653,0.006265304,0.004631428,0.008640518,0.009451179,0.057567063,1.896573163,1.792631223,0.001433204,0.246818274,0.049529119,0.008711145,0.029387179,0.003470646,0.005790354,0.053560314,0.001315251,0.003725551,0.038557573,0.005801066,0.002565793,0.014813004,0.414146373,2.414897925,0.045504262,1.509211784,0.556964449,0.135071707,0.004554979,0.016465222,0.020682546,1.556304896,0.253599304,0.481570895,2.23856793,0.009253452,0.012168545,0.008753698,2.945828438,0.313847387,0.806797455,1.591948061,2.46198573,4.44281513,0.003447654,0.136802539,0.005330195,8.131700766,0.583586522,1.546185286,1.273527152,0.124124306,0.178990504,0.015245486,0.003548476,0.081769607,0.165826627,0.05509006,0.000272575,0.173083802,0.018572927,0.233275004,0.003165466,0.01797674,0.024078799
Sample-9,C,0.001952663,0.004179667,0.004914292,0.018001088,0.004036338,2.278646859,0.004356939,0.012300621,0.456607758,0.060725882,0.033339881,0.00965886,0.010017069,0.005602681,0.006797999,0.011310761,0.305886689,0.397434189,0.384323039,1.712076089,1.726661793,0.987020125,0.337037644,0.789633995,0.074424924,0.008894691,0.007617317,1.364778102,0.018300046,0.010920594,3.778633605,0.016806006,0.005745391,0.213692762,0.089704645,0.179220695,0.271750026,0.004633346,0.057727076,2.436363774,0.824878705,0.026636874,1.685522712,0.040253241,3.538934931,0.005336985,0.052507445,0.073661837,1.186728292,0.006944151,0.017631167,0.014760735,4.101916942,0.019459077,0.055503062,0.018243059,0.108388517,0.039882304,0.015065667,0.526558743,0.018888248,4.569802895,0.024723392,1.066380571,13.48563503,0.018774928,0.006863485,0.003040271,0.009963563,0.011068513,0.142584623,3.080857728,7.669434992,0.000735923,0.105169764,0.044745378,0.009424007,0.011424079,0.003534926,0.010292802,0.022647388,0.002244724,0.004472833,0.007565044,0.007212801,0.003551396,0.01717514,0.091764178,1.80442346,0.019491565,1.393233483,1.211590508,0.114586818,0.00539994,0.019710694,0.024752212,15.1518334,0.667385137,0.355329466,5.012271081,0.01648959,0.013749006,0.010845551,5.122806403,0.01365123,0.236275873,1.111389143,1.003021024,1.790964224,0.004056653,0.104385839,0.0062067,0.735472594,0.088166935,0.24136021,0.124372939,0.173015561,1.211725646,0.324456776,0.004143461,0.082349585,0.085275491,0.127516246,0.000311415,0.540286121,0.019148465,0.015287292,0.001872796,0.024067474,0.076793012
Sample-10,C,0.001486802,0.004044726,0.00455137,0.017639979,0.003268933,3.029746898,0.003686098,0.017953731,0.750854514,0.347615847,0.085378615,0.07025373,0.002998802,0.004016014,0.00620486,0.009090499,0.495631264,0.47394559,0.697161888,4.210250231,2.340911516,0.778521528,1.060863347,0.848661012,0.058666822,0.007482049,0.005970162,1.902217467,0.132683029,0.009930348,1.207668812,0.012973794,0.008752514,0.109548417,1.68233792,0.588246534,0.215525795,0.004768541,0.458513662,4.581730044,0.828812386,0.047656217,2.50449748,0.306401196,4.130655115,0.004054771,0.173576759,0.214677195,1.471222533,0.005477267,0.012006359,0.007338962,4.965529366,0.026614541,0.01972772,0.016342079,0.06909512,0.554590438,0.01171548,1.009134531,0.017229597,4.094321765,0.187204242,1.444675986,12.06422291,0.013321128,0.005271272,0.003422385,0.00576431,0.008761644,0.024826991,1.485690371,4.100539801,0.000613099,0.147875827,0.043733894,0.058739689,0.009221199,0.002016187,0.00528998,0.014412023,0.001412483,0.003279597,0.005671336,0.005099144,0.00306139,0.01353077,0.817336848,2.403787746,0.025178684,0.82641842,1.81251879,0.375925336,0.004760337,0.015674078,0.033877667,5.765304042,0.7668357,0.455079798,2.382547824,0.013057771,0.008579434,0.006620833,3.391851945,0.47731482,0.481479432,1.639748038,0.898557403,6.23493902,0.002135529,0.194087039,0.004711229,0.722982255,0.078421391,0.253084392,1.342184167,0.357901198,0.91552049,0.51395641,0.00321923,0.061528482,0.130397812,0.064863013,0.000207125,0.014675144,0.015287669,0.008750562,0.002860861,0.065781348,0.009962451
